Receta,Score,Quantity Score,Dificultad,Tiempo Preparación,Tiempo Total,Cantidades,Ingredientes,Nutrición
Ensalada de sandía con vinagreta de albahaca y menta,5.0,1 valoración,fácil,5min,10min,4 raciones,"['½ cebolla morada cortada en pluma', '1000 g de agua', '200 g de cubitos de hielo', '350 g de sandía cortada en rectángulos irregulares, sin piel ni pepas', '100 g de arándanos', '½ pepino de Alaska, en rodajas', '10 g de hojas de albahaca fresca', '100 g de queso feta, desmenuzado', '30 g de vinagre balsámico blanco', '5 g de menta fresca', '5 g de albahaca fresca', '50 g de aceite de oliva', '½ cucharadita de sal', '2 pellizcos de pimienta negra molida', '1 cubito de hielo']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '272.6 kcal / 1140.5 kJ'), ('Proteína', '7.4 g'), ('Grasa', '21.2 g'), ('Carbohidratos', '14.9 g'), ('Fibra', '1.6 g'), ('Grasas saturadas', '6.6 g'), ('Sodio', '469.1 mg')]"
Ensalada de zanahoria y garbanzos crocantes,4.0,1 valoración,fácil,5min,40min,4 raciones,"['400 g de garbanzos cocidos drenados (sin líquido de la cocción)', '2 cucharadas de aceite de oliva', '1 cucharadita de orégano', '2 pellizcos de cúrcuma en polvo', '2 pellizcos de pimienta de cayena molida', '1 cucharadita de semillas de sésamo', '250 g de zanahorias cortadas en láminas finas', '2 naranjas en gajos, sin cáscara ni parte blanca', '40 g de cebollín parte blanca, cortado muy fino', '60 g de brotes de arveja, partidos por la mitad', '2 cucharadas de perejil picado', '15 hojas de menta troceadas a mano', '40 g de jugo de limón recién exprimido', '1 cucharadita de mostaza de grano', '15 g de miel', '5 g de perejil fresco picado', '20 g de agua', '10 g de nueces']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '539.3 kcal / 2256.4 kJ'), ('Proteína', '23.1 g'), ('Grasa', '15.1 g'), ('Carbohidratos', '83.2 g'), ('Fibra', '16.7 g'), ('Grasas saturadas', '1.8 g'), ('Sodio', '86.2 mg')]"
Ensalada italiana de pasta con pesto,5.0,1 valoración,fácil,10min,35min,6 porciones,"['80 g de queso parmesano', '30 g de nueces en mitades', '150 g de aceite de oliva', '1 ½ cucharadita de sal', '1 diente de ajo', '80 g de albahaca fresca (solo las hojas) troceadas a mano', '1500 g de agua', '500 g de pasta corta seca tipo moñitos', '150 g de aceitunas negras sin carozo', '400 g de tomates cherry', '300 g de mozzarellas mini\no bien 300 g de mozzarella en dados', '2 - 3 pellizco de sal en escamas', '1 - 2 cucharadas de nueces en mitades troceadas a mano']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '821.7 kcal / 3437.8 kJ'), ('Proteína', '29 g'), ('Grasa', '48 g'), ('Carbohidratos', '69.4 g'), ('Fibra', '5 g')]"
Ensalada de pasta con salsa de parmesano,5.0,1 valoración,fácil,15min,1h,6 porciones,"['50 g de queso parmesano en trozos', '1 diente de ajo', '2 ramitas de perejil fresco (hojas y parte del tallo)', '100 g de mayonesa', '100 g de crema para cocinar', '1 - 2 pellizcos pimienta molida', '1000 g de agua', '200 g de ramilletes de brócoli', '250 g de pasta corta seca', '1 cucharadita de sal', '250 g de tomates cherry', '1 morrón amarillo', 'hojas de albahaca fresca']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '359 kcal / 1504 kJ'), ('Proteína', '10.4 g'), ('Grasa', '19.1 g'), ('Carbohidratos', '37 g'), ('Fibra', '2.2 g'), ('Grasas saturadas', '5.4 g'), ('Sodio', '628.6 mg')]"
Ensalada de cuscús con dátiles y almendras,4.5,2 valoraciones,fácil,15min,15min,6 porciones,"['200 g de cuscús de grano medio', '250 g de agua', '1 ½ cucharadita de sal', '80 g de dátiles sin carozo', '60 g de almendras enteras con piel', '6 - 8 ramitas de perejil fresco (solo las hojas)', '4 ramitas de hojas de menta fresca (solo las hojas)', '150 g de zanahoria en trozos (aprox. 2 cm)', '1 cebolla de verdeo en rodajas finas', '60 g de aceite de oliva', '60 g de jugo de limón', '1 cucharadita de miel', '2 pellizcos de pimienta molida', '½ cucharadita de pimentón', '100 g de espinacas baby frescas\no bien 100 g de rúcula']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '323.8 kcal / 1353.7 kJ'), ('Proteína', '7.3 g'), ('Grasa', '16.1 g'), ('Carbohidratos', '37.2 g'), ('Fibra', '4.9 g')]"
Sarraceno con tomates cherry y albahaca (sin gluten),5.0,1 valoración,fácil,10min,35min,4 porciones,"['700 g de agua', '250 g de trigo sarraceno en grano', '30 g de almendras tostadas sin sal', '50 g de hojas de albahaca fresca', '80 g de aceite de oliva', '1 pellizco de sal', '300 g de tomates cherry en mitades']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '440 kcal / 1841 kJ'), ('Proteína', '11.3 g'), ('Grasa', '26.1 g'), ('Carbohidratos', '42.7 g'), ('Fibra', '5.6 g')]"
Ensalada de remolacha con vinagreta de perejil,5.0,1 valoración,fácil,15min,30min,4 porciones,"['500 - 600 g de remolacha cruda pelada y en trozos (ver sugerencia)', '500 g de agua', '400 g de lentejas cocidas (en conserva) lavadas y escurridas', '5 ramitas de perejil fresco (hojas y parte del tallo)', '30 g de cebolla de verdeo', '90 g de aceite de oliva', '45 g de vinagre', '1 cucharadita de sal', '2 pellizcos de pimienta negra molida']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '395 kcal / 1653 kJ'), ('Proteína', '12.3 g'), ('Grasa', '23.3 g'), ('Carbohidratos', '29.5 g'), ('Fibra', '10.4 g'), ('Grasas saturadas', '3.3 g'), ('Sodio', '1067.3 mg')]"
Cóctel Bellini,5.0,1 valoración,fácil,5min,5min,6 copas,"['4 duraznos en almíbar en mitades', '10 g de jugo de limón', '30 - 40 g de azúcar (opcional)', '100 g de cubitos de hielo', '300 g de champán\no bien 300 g de vino espumante']","[('Inf. nutricional', 'por 1 copa'), ('Calorías', '69.9 kcal / 292.2 kJ'), ('Proteína', '0.2 g'), ('Grasa', '0 g'), ('Carbohidratos', '9.3 g'), ('Fibra', '0.3 g'), ('Grasas saturadas', '0 g'), ('Sodio', '3.1 mg')]"
Sambusak,4.9,11 valoraciones,fácil,5min,1h 30min,30 unidades,"['100 g de manteca en trozos', '100 g de aceite de girasol y un poco más para engrasar la bandeja', '10 g de sal', '450 g de harina 0000', '30 g de sémola fina', '100 g agua fría', '200 g de queso barra en trozos', '100 g de queso sardo en trozos', '1 cucharadita de polvo de hornear', '2 huevos', '1 huevo batido', '50 g de semillas de sésamo blanco']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '167.2 kcal / 699.4 kJ'), ('Proteína', '4.7 g'), ('Grasa', '10.9 g'), ('Carbohidratos', '13 g'), ('Fibra', '0.6 g'), ('Grasas saturadas', '4.3 g'), ('Sodio', '213.5 mg')]"
Sándwich de galleta de navidad con helado de vainilla,5.0,1 valoración,avanzado,45min,1h 45min,9 unidades,"['800 g de helado de vainilla', '160 g de harina sin polvos de hornear', '½ cucharadita de bicarbonato de sodio', '½ cucharadita de canela en polvo', '½ cucharadita de jengibre en polvo', '1 pellizco de sal', '80 g de almendras enteras con piel', '140 g de mantequilla sin sal en cubos de 2 cm.', '90 g de miel', '70 g de azúcar rubia', '½ cucharadita de piel de naranja rallada', '100 g de dulces de navidad, picados']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '512.1 kcal / 2142.8 kJ'), ('Proteína', '7 g'), ('Grasa', '27 g'), ('Carbohidratos', '63.7 g'), ('Fibra', '2.3 g'), ('Grasas saturadas', '14.4 g'), ('Sodio', '162.2 mg')]"
Pavo envuelto con compota de arándanos,5.0,1 valoración,avanzado,1h,1h 30min,6 raciones,"['½ diente de ajo', '70 g de cebollín solo parte blanca', '20 g de aceite de oliva', '300 g de arándanos', '50 g de azúcar', '1 cucharadita de sal', '50 g de vinagre de manzana', '6 trozos de pechuga de pavo deshuesada y sin piel', '1 cucharadita de sal', '½ cucharadita de pimienta negra recién molida', '20 g de aceite de oliva', '600 g de harina sin polvos de hornear', '200 g de mantequilla', '150 g de agua muy fría', '1 cucharada de sal', '1 huevo', '3 cucharadas de leche']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '873.3 kcal / 3653.9 kJ'), ('Proteína', '30.2 g'), ('Grasa', '41.6 g'), ('Carbohidratos', '93.5 g'), ('Fibra', '4.3 g'), ('Grasas saturadas', '20.2 g'), ('Sodio', '2014.5 mg')]"
Espárragos con salsa de parmesano,5.0,1 valoración,fácil,25min,30min,6 raciones,"['500 g de agua', '500 g de espárragos verdes', '80 g de queso parmesano cortado en trozos de 2 cm', '200 g de leche semidescremada', '1 cucharadita de maicena (almidón de maíz)', '1 pellizco de nuez moscada molida', 'la piel de 1/2 limón rallada', '2 pellizcos de sal', '1 pellizco de pimienta', '10 g de mantequilla']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '99.3 kcal / 415.5 kJ'), ('Proteína', '7.8 g'), ('Grasa', '4.9 g'), ('Carbohidratos', '5.7 g'), ('Fibra', '1.8 g'), ('Grasas saturadas', '3.1 g'), ('Sodio', '253.4 mg')]"
Pollo crocante con salsa de piña agridulce,5.0,2 valoraciones,medio,45min,1h,6 raciones,"['200 g de hojuelas de maíz sin endulzar (cornflakes)', '100 g de cebolla', '1 diente de ajo', '20 g de aceite de maravilla', '300 g de piña fresca cortada en trozos de 3 cm', '50 g de vinagre blanco', '100 g de jugo de naranja', '50 g de azúcar', '1 cucharadita de sal', '1 cucharadita de pimienta de cayena molida (opcional)', '1 cucharadita de maicena (almidón de maíz)', '2 cucharadas de agua', '400 g de pechuga de pollo deshuesada, sin piel cortada en tiras de 2 cm x 5 cm', '1 ½ cucharadita de sal', '½ cucharadita de pimienta negra recién molida', '2 huevos batidos', '2 pellizcos de sal', '1 pellizco de pimienta', '200 g de harina']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '453.9 kcal / 1899 kJ'), ('Proteína', '24.1 g'), ('Grasa', '7.6 g'), ('Carbohidratos', '72.6 g'), ('Fibra', '3.2 g'), ('Grasas saturadas', '1.5 g'), ('Sodio', '1321.7 mg')]"
Ensalada de lentejas con zanahoria asada y aderezo de sésamo,4.5,2 valoraciones,fácil,45min,1h 5min,4 raciones,"['3 zanahorias peladas y cortadas a la mitad', '1 cucharada de aceite de oliva', '2 pellizcos de sal', '1 pellizco de pimienta', '1 pellizco de comino molido', '35 g de semillas de sésamo tostado', '35 g de jugo de limón', '2 pellizcos de comino molido', '½ cucharadita de sal', '100 g de yogur griego', '5 g de aceite de maravilla', '10 g de agua', '200 g de lentejas de 4mm', '450 g de agua', '10 g de aceite de oliva', '1 diente de ajo entero', '2 cucharadas de perejil fresco picado', '150 g de hojas verdes de ensalada']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '338.1 kcal / 1414.5 kJ'), ('Proteína', '17.1 g'), ('Grasa', '12.2 g'), ('Carbohidratos', '43.3 g'), ('Fibra', '8.6 g'), ('Grasas saturadas', '1.7 g'), ('Sodio', '419 mg')]"
Ensalada de cuscús de coliflor,5.0,2 valoraciones,fácil,5min,15min,4 raciones,"['30 g de almendras', '300 g de coliflor cortada en trozos de 3 cm, sin tallo', '15 g de aceite de oliva y un poco más para aliñar', '100 g de cebolla morada', '1000 g de agua fría', '5 g de cilantro fresco', '150 g de tomate sin semillas', '50 g de aceitunas verdes o negras sin carozo', '15 g de jugo de limón', '½ cucharadita de sal', '2 pellizcos de pimienta negra recién molida']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '131.2 kcal / 548.9 kJ'), ('Proteína', '3.9 g'), ('Grasa', '9.4 g'), ('Carbohidratos', '10.9 g'), ('Fibra', '4.3 g'), ('Grasas saturadas', '1.1 g'), ('Sodio', '418.6 mg')]"
Falafel,4.6,12 valoraciones,fácil,5min,11h,4 porciones,"['240 g de garbanzos secos', '80 g de cebolla en trozos', '2 dientes de ajo', '10 ramitas de perejil fresco (solo las hojas)', '10 ramitas de cilantro fresco (solo las hojas)', '½ cucharadita de comino molido', '½ cucharadita de polvo de hornear', '½ cucharadita de sal fina', '1 - 2 pellizcos de pimienta negra molida', '300 g de aceite de girasol y un poco más para engrasar las manos', '100 g de harina para rebozar las bolitas (opcional)']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '902.3 kcal / 3775 kJ'), ('Proteína', '13.7 g'), ('Grasa', '79.8 g'), ('Carbohidratos', '44.3 g'), ('Fibra', '10.5 g'), ('Grasas saturadas', '8.5 g'), ('Sodio', '360.9 mg')]"
Jalá,5.0,11 valoraciones,fácil,30min,2h,20 rebanadas,"['10 g de levadura de panadería deshidratada instantánea', '280 g de agua', '1 huevo', '75 g de aceite de girasol y un poco más para engrasar el bol', '50 g de azúcar', '800 g de harina 0000', '1 cucharada rasa de sal fina', '1 huevo ligeramente batido', '1 cucharada colmada de semillas de sésamo tostado']","[('Inf. nutricional', 'por 1 rebanada'), ('Calorías', '198.5 kcal / 830.7 kJ'), ('Proteína', '4.2 g'), ('Grasa', '4.9 g'), ('Carbohidratos', '34.1 g'), ('Fibra', '0.9 g'), ('Grasas saturadas', '0.6 g'), ('Sodio', '362.2 mg')]"
Mini Pizzas,4.0,2 valoraciones,fácil,20min,1h 20min,16 porciones,"['220 g de agua', '1 cucharadita de azúcar', '2 cucharaditas de levadura de panadería deshidratada\no bien 20 g de levadura prensada fresca', '450 g de harina 000', '250 g de puré de tomate', '30 g de aceite de oliva y algo más para engrasar', '1 cucharadita de sal marina', '300 g de mozzarella rallado']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '170 kcal / 700 kJ'), ('Proteína', '8 g'), ('Grasa', '6 g'), ('Carbohidratos', '21 g')]"
Smoothie,5.0,1 valoración,fácil,5min,5min,4 vasos,"['350 - 450 g de fruta cortada en trozos (si fuera necesario)', '200 - 300 g de jugo de manzana o culaquier otra fruta (ej. naranja, uvas, ananá, arándanos)', '50 g de cubitos de hielo', '20 - 30 g de jugo de limón (opcional)', '1 cucharada de azúcar (opcional)']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '82 kcal / 344 kJ'), ('Proteína', '1 g'), ('Grasa', '0 g'), ('Carbohidratos', '18 g'), ('Fibra', '1.9 g')]"
Yogur con arándanos en Varoma,5.0,3 valoraciones,fácil,15min,13h 10min,8 unidades,"['50 - 70 g de azúcar', '200 - 250 g de arándanos frescos', '800 g de leche entera', '1 yogur natural', '10 g de leche en polvo (opcional)', '250 g de agua', '30 g de jugo de limón']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '123 kcal / 518 kJ'), ('Proteína', '4 g'), ('Grasa', '5 g'), ('Carbohidratos', '15 g'), ('Fibra', '1 g'), ('Grasas saturadas', '3 g')]"
Huevos de Pascua con confites de chocolate,5.0,1 valoración,medio,5min,20min,6 porciones,"['250 g de chocolate amargo en trozos', '50 g de perlas de chocolate de colores']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '306 kcal / 2185 kJ'), ('Proteína', '5 g'), ('Grasa', '19 g'), ('Carbohidratos', '34 g'), ('Fibra', '3 g')]"
"Galletitas tiernas de zanahoria, avena y naranja",4.2,5 valoraciones,fácil,10min,50min,18 unidades,"['150 g de zanahoria en trozos', '8 - 10 tiras de piel de naranja (sin nada de parte blanca)', '125 g de harina 0000', '100 g de miel', '20 g de aceite de girasol', '40 g de pasas sin semillas', '1 cucharadita de polvo de hornear', '1 huevo', '90 g de copos de avena (y un poco más para espolvorear)', '1 pellizco de canela molida']","[('Inf. nutricional', 'por 18 unidades'), ('Calorías', '1577 kcal / 6598 kJ'), ('Proteína', '35 g'), ('Grasa', '32 g'), ('Carbohidratos', '302 g'), ('Fibra', '21 g'), ('Grasas saturadas', '5 g'), ('Sodio', '541 mg')]"
Crema de zanahoria y apio con aceite de hierbas,4.5,2 valoraciones,fácil,15min,45min,4 porciones,"['1 cucharada de hierbas provenzales secas', '1 diente de ajo', '30 g de aceite de oliva', '1 cucharadita de jugo de limón', '1 pellizco de azúcar', '1 pellizco de sal', '1 pellizco de pimienta molida', '50 g de cebolla morada', '30 g de aceite de oliva', '200 g de apio nabo en trozos de 3-4 cm\no bien 200 g de papas en trozos de 3-4 cm', '400 g de zanahoria en trozos de 3-4 cm', '1 ½ cucharaditas de sal', '500 g de agua', '100 g de queso crema\no bien 100 g de queso ricota']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '278 kcal / 1163 kJ'), ('Proteína', '6 g'), ('Grasa', '21 g'), ('Carbohidratos', '17 g'), ('Fibra', '4.3 g'), ('Grasas saturadas', '5 g'), ('Sodio', '1 mg')]"
Crackers de queso,5.0,9 valoraciones,fácil,15min,2h 45min,60 unidades,"['200 g de queso gruyère en trozos', '200 g de harina 0000', '120 g de manteca fría cortada en trozos', '1 huevo', '½ - 1 cucharadita de sal', '1 cucharadita de comino en grano (para espolvorear) (opcional)', '1 cucharadita de semillas de sésamo (para espolvorear) (opcional)']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '39 kcal / 164 kJ'), ('Proteína', '1 g'), ('Grasa', '3 g'), ('Carbohidratos', '2 g'), ('Fibra', '0.1 g')]"
Minicakes de yogur (sin gluten),4.6,5 valoraciones,fácil,10min,40min,20 unidades,"['220 g de harina de arroz casera o certificada sin gluten', '90 g de fécula de maíz certificada sin gluten', '220 g de azúcar', '1 yogur natural (125 g)', '5 g de esencia de vainilla', '100 g de aceite de girasol', '3 huevos', '5 g de goma xántica', '15 g de polvo de hornear']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '157 kcal / 660 kJ'), ('Proteína', '2.2 g'), ('Grasa', '6.1 g'), ('Carbohidratos', '25.2 g'), ('Fibra', '0.1 g')]"
Masa básica de pizza,5.0,8 valoraciones,fácil,5min,1h,670 g,"['30 g de aceite de oliva (y algo más para engrasar un bol)', '220 g de agua a temperatura ambiente', '1 cucharadita de azúcar', '20 g de levadura prensada fresca desmenuzada\no bien 2 cucharaditas de levadura de panadería deshidratada (8 g)', '400 g de harina 000', '1 cucharadita de sal']","[('Inf. nutricional', 'por 670 g'), ('Calorías', '1752 kcal / 7341 kJ'), ('Proteína', '45 g'), ('Grasa', '39 g'), ('Carbohidratos', '302 g'), ('Fibra', '12.7 g'), ('Grasas saturadas', '5 g'), ('Sodio', '1571.8 mg')]"
Muffins Mac and Cheese,4.0,1 valoración,fácil,15min,1h,12 unidades,"['aceite en spray para engrasar', '120 g de queso cheddar en trozos de 2 cm', '120 g de queso gruyère en trozos de 2 cm', '800 g de agua', '240 g de pasta corta seca (tipo macarrón)', '50 g de manteca', '120 g de queso crema', '30 g de harina', '1 huevo (opcional)', '½ cucharadita de sal', '1 pellizco de pimienta negra molida', '1 pellizco de pimienta blanca molida', '1 pellizco de pimienta de Cayena molida (opcional)', '300 g de leche entera', '30 g de pan rallado']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '255 kcal / 1067 kJ'), ('Proteína', '10 g'), ('Grasa', '14.7 g'), ('Carbohidratos', '20.6 g'), ('Fibra', '0.9 g'), ('Grasas saturadas', '8.5 g'), ('Sodio', '302.6 mg')]"
Espaguetis integrales con pollo y verdura,5.0,5 valoraciones,fácil,15min,25min,6 porciones,"['200 g de cebolla en cuartos', '1 diente de ajo', '130 g de morrón rojo en trozos', '70 g de morrón verde en trozos', '50 g de aceite de oliva', '200 g de ramilletes de coliflor pequeños', '150 g de zucchini con piel, cortado en juliana', '70 g de zanahoria en juliana', '120 g de chauchas frescas en trozos de 4 cm', '120 g champiñón fresco laminado (opcional)', '300 g de espaguetis integrales\no bien 300 g de espaguetis', '300 g de contramuslo de pollo sin piel ni hueso (en tiras y salpimentados)\no bien 300 g de pechuga de pollo (en tiras y salpimentados)', '50 g de salsa de soja\no bien 50 g de agua', '1 chorrito de aceite de sésamo (opcional)', '½ cucharadita sal']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '359 kcal / 1499 kJ'), ('Proteína', '19.04 g'), ('Grasa', '12.35 g'), ('Carbohidratos', '42.83 g'), ('Fibra', '5.99 g')]"
Salsa de tomate estilo italiano,4.9,25 valoraciones,fácil,5min,35min,2 tarros,"['50 g de aceite de oliva', '2 dientes de ajo', '100 g de cebolla en cuartos', '100 g de zanahoria en rodajas (opcional)', '1000 g de tomate triturado en conserva\no bien 1000 g de tomate maduro en trozos', '15 g de azúcar', '1 - 2 cucharaditas de sal', '1 - 2 pellizcos de pimienta molida', '1 cucharada de orégano seco\no bien 1 - 2 ramitas de albahaca fresca']","[('Inf. nutricional', 'por 1 tarro'), ('Calorías', '375.4 kcal / 1569 kJ'), ('Proteína', '5.8 g'), ('Grasa', '25.5 g'), ('Carbohidratos', '30.6 g'), ('Fibra', '7.3 g')]"
Hummus de zanahoria,4.3,8 valoraciones,fácil,10min,15min,850 g,"['60 g de aceite de oliva', '250 g de zanahoria cortadas en trozos (2 cm)', '60 g de cebolla en trozos', '20 g de jarabe de agave\no bien 20 g de miel', '1 cucharadita de comino molido', '400 g de garbanzos cocidos (en conserva) aclarados y escurridos', '50 g de semillas de sésamo tostado', '1 cucharadita de sal', '½ cucharadita de pimienta molida', '90 g de agua', '20 g de jugo de limón']","[('Inf. nutricional', 'por 850 g'), ('Calorías', '1373 kcal / 5745 kJ'), ('Proteína', '32 g'), ('Grasa', '94.1 g'), ('Carbohidratos', '113.8 g'), ('Fibra', '32.2 g'), ('Grasas saturadas', '12.6 g'), ('Sodio', '3627.5 mg')]"
